Operasi,Volume File (MB),Jumlah client worker pool,Client executor type,Server executor type,Jumlah server worker pool,Waktu total per client (s),Throughput per client (MB/s),Jumlah worker client sukses,Jumlah worker client gagal
GET,10,50,thread,thread,1,0.23,63.65,50,0
GET,10,50,process,thread,1,0.17,87.4,50,0
GET,50,1,thread,thread,1,0.17,287.66,1,0
GET,50,1,process,thread,1,0.03,1784.22,1,0
GET,50,5,thread,thread,1,0.12,666.6,5,0
GET,50,5,process,thread,1,0.11,644.24,5,0
GET,50,50,thread,thread,1,1.08,105.09,50,0
GET,50,50,process,thread,1,1.0,69.95,50,0
GET,100,1,thread,thread,1,0.39,258.76,1,0
GET,100,1,process,thread,1,0.07,1376.03,1,0
GET,100,5,thread,thread,1,0.25,593.87,5,0
GET,100,5,process,thread,1,0.29,474.47,5,0
GET,100,50,thread,thread,1,2.29,90.28,50,0
GET,100,50,process,thread,1,2.03,73.01,50,0
UPLOAD,10,1,thread,thread,1,0.12,81.18,1,0
UPLOAD,10,1,process,thread,1,0.1,101.23,1,0
UPLOAD,10,5,thread,thread,1,0.37,28.87,5,0
UPLOAD,10,5,process,thread,1,0.34,34.29,5,0
UPLOAD,10,50,thread,thread,1,3.68,2.93,50,0
UPLOAD,10,50,process,thread,1,2.01,6.97,50,0
UPLOAD,50,1,thread,thread,1,0.81,61.66,1,0
UPLOAD,50,1,process,thread,1,0.81,61.4,1,0
UPLOAD,50,5,thread,thread,1,3.03,19.29,5,0
UPLOAD,50,5,process,thread,1,2.25,29.04,5,0
UPLOAD,50,50,thread,thread,1,27.56,2.2,50,0
UPLOAD,50,50,process,thread,1,18.42,4.39,50,0
UPLOAD,100,1,thread,thread,1,2.59,38.58,1,0
UPLOAD,100,1,process,thread,1,2.53,39.51,1,0
UPLOAD,100,5,thread,thread,1,8.34,14.25,5,0
UPLOAD,100,5,process,thread,1,7.06,18.55,5,0
UPLOAD,100,50,thread,thread,1,78.71,1.59,50,0
UPLOAD,100,50,process,thread,1,66.84,2.76,50,0
GET,10,1,thread,thread,5,0.04,230.59,1,0
GET,10,1,process,thread,5,0.01,869.59,1,0
GET,10,5,thread,thread,5,0.02,470.83,5,0
GET,10,5,process,thread,5,0.01,782.14,5,0
GET,10,50,thread,thread,5,0.13,99.9,50,0
GET,10,50,process,thread,5,0.06,175.82,50,0
GET,50,1,thread,thread,5,0.17,294.93,1,0
GET,50,1,process,thread,5,0.06,781.38,1,0
GET,50,5,thread,thread,5,0.1,508.34,5,0
GET,50,5,process,thread,5,0.06,772.88,5,0
GET,50,50,thread,thread,5,0.61,120.93,50,0
GET,50,50,process,thread,5,0.31,182.52,50,0
GET,100,1,thread,thread,5,0.38,264.8,1,0
GET,100,1,process,thread,5,0.07,1390.4,1,0
GET,100,5,thread,thread,5,0.22,452.58,5,0
GET,100,5,process,thread,5,0.12,836.69,5,0
GET,100,50,thread,thread,5,1.3,119.51,50,0
GET,100,50,process,thread,5,0.68,191.11,50,0
UPLOAD,10,1,thread,thread,5,0.12,85.43,1,0
UPLOAD,10,1,process,thread,5,0.09,105.64,1,0
UPLOAD,10,5,thread,thread,5,0.42,24.08,5,0
UPLOAD,10,5,process,thread,5,0.32,31.14,5,0
UPLOAD,10,50,thread,thread,5,3.33,3.12,50,0
UPLOAD,10,50,process,thread,5,1.89,6.44,50,0
UPLOAD,50,1,thread,thread,5,0.83,60.22,1,0
UPLOAD,50,1,process,thread,5,0.8,62.17,1,0
UPLOAD,50,5,thread,thread,5,3.76,13.35,5,0
UPLOAD,50,5,process,thread,5,3.05,16.56,5,0
UPLOAD,50,50,thread,thread,5,26.75,2.17,50,0
UPLOAD,50,50,process,thread,5,18.68,3.73,50,0
UPLOAD,100,1,thread,thread,5,2.53,39.51,1,0
UPLOAD,100,1,process,thread,5,2.46,40.59,1,0
UPLOAD,100,5,thread,thread,5,11.25,8.96,5,0
UPLOAD,100,5,process,thread,5,10.25,9.81,5,0
UPLOAD,100,50,thread,thread,5,79.35,1.52,50,0
UPLOAD,100,50,process,thread,5,64.4,2.19,50,0
GET,10,1,thread,thread,50,0.05,192.69,1,0
GET,10,1,process,thread,50,0.01,1055.86,1,0
GET,10,5,thread,thread,50,0.02,499.49,5,0
GET,10,5,process,thread,50,0.02,643.52,5,0
GET,10,50,thread,thread,50,0.2,52.42,50,0
GET,10,50,process,thread,50,0.05,238.48,50,0
GET,50,1,thread,thread,50,0.05,1081.19,1,0
GET,50,1,process,thread,50,0.03,1609.65,1,0
GET,50,5,thread,thread,50,0.11,496.87,5,0
GET,50,5,process,thread,50,0.07,765.06,5,0
GET,50,50,thread,thread,50,1.13,44.68,50,0
GET,50,50,process,thread,50,0.3,201.24,49,1
GET,100,1,thread,thread,50,0.37,271.9,1,0
GET,100,1,process,thread,50,0.06,1635.9,1,0
GET,100,5,thread,thread,50,0.18,576.64,5,0
GET,100,5,process,thread,50,0.15,670.66,5,0
GET,100,50,thread,thread,50,3.27,30.73,50,0
GET,100,50,process,thread,50,7.48,95.27,50,0
UPLOAD,10,1,thread,thread,50,0.13,78.27,1,0
UPLOAD,10,1,process,thread,50,0.11,92.56,1,0
UPLOAD,10,5,thread,thread,50,0.43,23.56,5,0
UPLOAD,10,5,process,thread,50,0.32,31.57,5,0
UPLOAD,10,50,thread,thread,50,4.57,2.19,50,0
UPLOAD,10,50,process,thread,50,1.97,6.02,50,0
UPLOAD,50,1,thread,thread,50,0.8,62.24,1,0
UPLOAD,50,1,process,thread,50,0.81,61.47,1,0
UPLOAD,50,5,thread,thread,50,3.91,12.79,5,0
UPLOAD,50,5,process,thread,50,3.19,15.7,5,0
UPLOAD,50,50,thread,thread,50,38.32,1.34,50,0
UPLOAD,50,50,process,thread,50,22.84,2.44,50,0
UPLOAD,100,1,thread,thread,50,2.6,38.42,1,0
UPLOAD,100,1,process,thread,50,2.5,40.02,1,0
UPLOAD,100,5,thread,thread,50,11.94,8.39,5,0
UPLOAD,100,5,process,thread,50,11.47,8.83,5,0
UPLOAD,100,50,thread,thread,50,127.1,0.8,50,0
UPLOAD,100,50,process,thread,50,108.56,0.96,50,0
